주소,재산피해소계
경상남도 사천시 대방동,1226
경상남도 사천시 사남면,156084
경상남도 사천시 사등동,1078
경상남도 사천시 사천읍,7715
경상남도 사천시 서포면,2976
경상남도 사천시 송포동,3389
경상남도 사천시 실안동,4545
경상남도 사천시 정동면,90
경상남도 사천시 축동면,8027
경상남도 사천시 향촌동,2847
경상남도 산청군 금서면,30727
경상남도 산청군 단성면,4848
경상남도 산청군 산청읍,220
경상남도 산청군 삼장면,4475
경상남도 산청군 신등면,495
경상남도 산청군 신안면,1208
경상남도 양산시 덕계동,108872
경상남도 양산시 동면,1442
경상남도 양산시 매곡동,3346
경상남도 양산시 명곡동,48873
경상남도 양산시 명동,101
경상남도 양산시 산막동,74669
경상남도 양산시 상북면,1583038
경상남도 양산시 소주동,2454
경상남도 양산시 어곡동,11022
경상남도 양산시 용당동,185801
경상남도 양산시 원동면,4490
경상남도 양산시 유산동,182866
경상남도 양산시 주남동,139
경상남도 양산시 하북면,6065
경상남도 양산시 호계동,1967
경상남도 의령군 낙서면,150
경상남도 의령군 대의면,449
경상남도 의령군 봉수면,27953
경상남도 의령군 부림면,1217
경상남도 의령군 용덕면,684
경상남도 의령군 의령읍,55788
경상남도 의령군 정곡면,300632
경상남도 의령군 지정면,112054
경상남도 진주시 금곡면,14064
경상남도 진주시 금산면,60401
경상남도 진주시 대곡면,31350
경상남도 진주시 망경동,785
경상남도 진주시 명석면,127001
경상남도 진주시 문산읍,2371
경상남도 진주시 사봉면,2473
경상남도 진주시 상대동,8228
경상남도 진주시 상평동,67092
경상남도 진주시 수곡면,2031
경상남도 진주시 이반성면,291
경상남도 진주시 장재동,473
경상남도 진주시 정촌면,4274
경상남도 진주시 지수면,2064
경상남도 진주시 집현면,17364
경상남도 창녕군 고암면,702
경상남도 창녕군 남지읍,8442
경상남도 창녕군 대합면,8925
경상남도 창녕군 성산면,1316
경상남도 창녕군 영산면,12793
경상남도 창녕군 이방면,6163
경상남도 창녕군 장마면,33908
경상남도 창녕군 창녕읍,11281
경상남도 창원시 마산합포구 구산면,1145
경상남도 창원시 마산합포구 남성동,952
경상남도 창원시 마산합포구 덕동동,353255
경상남도 창원시 마산합포구 신포동1가,723
경상남도 창원시 마산합포구 장군동1가,243
경상남도 창원시 마산합포구 진동면,63741
경상남도 창원시 마산합포구 진북면,4143
경상남도 창원시 마산합포구 진전면,268487
경상남도 창원시 마산합포구 해운동,11822
경상남도 창원시 마산회원구 구암동,9819
경상남도 창원시 마산회원구 내서읍,1287
경상남도 창원시 마산회원구 두척동,117
경상남도 창원시 마산회원구 봉암동,11836
경상남도 창원시 마산회원구 양덕동,1067
경상남도 창원시 성산구 귀곡동,5109
경상남도 창원시 성산구 남산동,1334
경상남도 창원시 성산구 내동,55000
경상남도 창원시 성산구 성산동,6727
경상남도 창원시 성산구 성주동,4403
경상남도 창원시 성산구 신촌동,53595
경상남도 창원시 성산구 웅남동,14537
경상남도 창원시 성산구 천선동,3776
경상남도 창원시 의창구 대산면,88207
경상남도 창원시 의창구 대원동,67911
경상남도 창원시 의창구 동읍,83760
경상남도 창원시 의창구 명서동,462
경상남도 창원시 의창구 북면,11376
경상남도 창원시 의창구 사화동,881
경상남도 창원시 의창구 소계동,1668
경상남도 창원시 의창구 팔용동,108934
경상남도 창원시 진해구 경화동,427
경상남도 창원시 진해구 남문동,10631
경상남도 창원시 진해구 남양동,8167
경상남도 창원시 진해구 성내동,2092
경상남도 통영시 광도면,990
경상남도 통영시 도산면,16112
경상남도 통영시 인평동,635
경상남도 하동군 고전면,926
경상남도 하동군 금남면,302
경상남도 하동군 금성면,2145
경상남도 하동군 북천면,6272
경상남도 하동군 악양면,10564
경상남도 하동군 양보면,48
경상남도 하동군 옥종면,21369
경상남도 하동군 진교면,397989
경상남도 하동군 하동읍,1804
경상남도 하동군 횡천면,23697
경상남도 함안군 가야읍,4848
경상남도 함안군 군북면,42467
경상남도 함안군 대산면,12378
경상남도 함안군 산인면,2305
경상남도 함안군 칠북면,1900
경상남도 함안군 칠서면,3665
경상남도 함안군 칠원읍,208165
경상남도 함양군 병곡면,828
경상남도 함양군 서상면,114
경상남도 함양군 수동면,1850
경상남도 함양군 안의면,26241
경상남도 함양군 유림면,2776
경상남도 함양군 지곡면,2881
경상남도 함양군 함양읍,4802
경상남도 함양군 휴천면,3349
경상남도 합천군 가야면,37783
경상남도 합천군 가회면,879
경상남도 합천군 묘산면,160
경상남도 합천군 쌍책면,3064
경상남도 합천군 야로면,162193
경상남도 합천군 합천읍,1304
경상북도 경산시 남방동,3542
경상북도 경산시 남산면,6312
경상북도 경산시 남천면,66030
경상북도 경산시 사동,1738
경상북도 경산시 압량면,230058
경상북도 경산시 와촌면,4114
경상북도 경산시 용성면,27088
경상북도 경산시 임당동,6187
경상북도 경산시 자인면,1139123
경상북도 경산시 진량읍,590522
경상북도 경산시 하양읍,9778
경상북도 경주시 감포읍,9760
경상북도 경주시 강동면,12208
경상북도 경주시 건천읍,33583
경상북도 경주시 내남면,881
경상북도 경주시 마동,1555
경상북도 경주시 서면,50044
경상북도 경주시 시동,517
경상북도 경주시 안강읍,13850
경상북도 경주시 양남면,15647
경상북도 경주시 양북면,668
경상북도 경주시 외동읍,1226876
경상북도 경주시 율동,1127
경상북도 경주시 천군동,0
경상북도 경주시 천북면,41461
경상북도 경주시 황성동,26823
경상북도 경주시 효현동,2115
경상북도 고령군 개진면,192899
경상북도 고령군 다산면,163005
경상북도 고령군 대가야읍,374269
경상북도 고령군 덕곡면,29640
경상북도 고령군 성산면,10269
경상북도 고령군 쌍림면,973
경상북도 구미시 고아읍,512400
경상북도 구미시 공단동,14829822
경상북도 구미시 구포동,7911
경상북도 구미시 금전동,540
경상북도 구미시 도개면,197891
경상북도 구미시 도량동,60
경상북도 구미시 부곡동,24444
경상북도 구미시 비산동,84346
경상북도 구미시 사곡동,859
경상북도 구미시 산동면,47657
경상북도 구미시 선산읍,6268
경상북도 구미시 시미동,330
경상북도 구미시 오태동,1675633
경상북도 구미시 옥성면,8581
경상북도 구미시 장천면,99562
경상북도 구미시 지산동,3031
경상북도 구미시 해평면,13454
경상북도 군위군 고로면,2735
경상북도 군위군 군위읍,194896
경상북도 군위군 산성면,6875
경상북도 군위군 우보면,463110
경상북도 군위군 의흥면,182067
경상북도 김천시 감문면,49179
경상북도 김천시 감천면,1985
경상북도 김천시 개령면,111187
경상북도 김천시 남면,299901
경상북도 김천시 농소면,1143
경상북도 김천시 대광동,7036
경상북도 김천시 대덕면,2177
경상북도 김천시 대항면,3574
경상북도 김천시 삼락동,7529
경상북도 김천시 신음동,2493
경상북도 김천시 아포읍,8252
경상북도 김천시 어모면,17857
경상북도 김천시 율곡동,199
경상북도 김천시 응명동,2514
경상북도 김천시 조마면,17908
경상북도 김천시 지좌동,6081
경상북도 문경시 가은읍,213729
경상북도 문경시 마성면,19789
경상북도 문경시 문경읍,19608
경상북도 문경시 산양면,16946
경상북도 문경시 영순면,7939
경상북도 봉화군 명호면,10516
경상북도 봉화군 물야면,2586
경상북도 봉화군 법전면,25248
경상북도 봉화군 봉성면,3009
경상북도 봉화군 봉화읍,7590
경상북도 봉화군 상운면,4877
경상북도 봉화군 석포면,13481
경상북도 봉화군 춘양면,5826
경상북도 상주시 거동동,27772
경상북도 상주시 계산동,265
경상북도 상주시 공검면,745
경상북도 상주시 공성면,5683
경상북도 상주시 도남동,24860
경상북도 상주시 모동면,30527
경상북도 상주시 사벌면,156
경상북도 상주시 연원동,34351
경상북도 상주시 외남면,17400
경상북도 상주시 이안면,9236
경상북도 상주시 인평동,3611
경상북도 상주시 중동면,605
경상북도 상주시 초산동,517
경상북도 상주시 함창읍,36586
경상북도 상주시 화동면,3821
경상북도 상주시 화서면,66
경상북도 상주시 흥각동,4093
경상북도 성주군 대가면,4153
경상북도 성주군 선남면,602027
경상북도 성주군 성주읍,4083026
경상북도 성주군 용암면,21950
경상북도 성주군 월항면,245171
경상북도 성주군 초전면,18996
경상북도 안동시 노하동,180147
경상북도 안동시 녹전면,2617
경상북도 안동시 도산면,10131
경상북도 안동시 북후면,3952
경상북도 안동시 서후면,3334
경상북도 안동시 송천동,5283
경상북도 안동시 수하동,518
경상북도 안동시 예안면,2393
경상북도 안동시 와룡면,3714
경상북도 안동시 용상동,11882
경상북도 안동시 일직면,1511
경상북도 안동시 임하면,646
경상북도 안동시 정하동,131180
경상북도 안동시 풍산읍,54292
경상북도 영덕군 강구면,128038
경상북도 영덕군 영덕읍,572
경상북도 영덕군 창수면,20593
경상북도 영양군 수비면,186
경상북도 영양군 일월면,4890
경상북도 영주시 문수면,1393
경상북도 영주시 아지동,49
경상북도 영주시 안정면,33132
경상북도 영주시 영주동,67
경상북도 영주시 이산면,9084
경상북도 영주시 장수면,88032
경상북도 영주시 평은면,14030
경상북도 영주시 휴천동,10962
경상북도 영천시 고경면,655741
경상북도 영천시 금호읍,758883
경상북도 영천시 대창면,9737
경상북도 영천시 도남동,497646
경상북도 영천시 북안면,477477
경상북도 영천시 신녕면,2979
경상북도 영천시 야사동,558
경상북도 영천시 완산동,691
경상북도 영천시 임고면,48156
경상북도 영천시 청통면,55628
경상북도 영천시 화남면,84468
경상북도 영천시 화산면,1230453
경상북도 예천군 감천면,29030
경상북도 예천군 보문면,6366
경상북도 예천군 예천읍,26942
경상북도 예천군 용궁면,128
경상북도 예천군 용문면,2512
경상북도 예천군 유천면,1127
경상북도 예천군 지보면,453445
경상북도 예천군 풍양면,642951
경상북도 예천군 호명면,45
경상북도 울릉군 서면,29371
경상북도 울진군 기성면,0
경상북도 울진군 죽변면,30163
경상북도 의성군 가음면,6408
경상북도 의성군 구천면,45
경상북도 의성군 금성면,1782
경상북도 의성군 다인면,2128033
경상북도 의성군 단북면,385212
경상북도 의성군 단촌면,26942
경상북도 의성군 봉양면,966
경상북도 의성군 안계면,10048
경상북도 의성군 의성읍,6230
경상북도 의성군 점곡면,55530
경상북도 청도군 각북면,20613
경상북도 청도군 금천면,1198
경상북도 청도군 매전면,4531
경상북도 청도군 이서면,5676
경상북도 청도군 청도읍,688
